㐖毒	xiédú
刀竿节	dāogānjié
刀笔贾竖	dāobǐjiǎshù
刀耕火种	dāogēnghuǒzhòng
刀背	dāobèi
刀过竹解	dāoguòzhújiě
刀郎	dāoláng
刀铍	dāopí
刀鞘	dāoqiào
刀风	dāofēng
刁刺	diāocì
刁哗	diāohuá
刁天决地	diāotiānjuédì
刁天厥地	diāotiānjuédì
刁头	diāotóu
刁恶	diāoè
刁斗	diāodǒu
刁斗旗杆	diāodǒuqígān
刁斗森严	diāodǒusēnyán
刁棍	diāogùn
刁横	diāohèng
刁空	diāokōng
刁羊	diāoyáng
刁藩都	diāofāndōu
刁藩都方程	diāofāndōufāngchéng
刁调	diāodiào
刁钻	diāozuān
刁钻促掏	diāozuāncùtāo
刁钻促搯	diāozuāncùtāo
刁钻促狭	diāozuāncùxiá
刁钻刻薄	diāozuānkèbó
刁钻古怪	diāozuāngǔguài
刁难	diāonàn
刁难地	diāonànde
刁顿	diāodùn
刁风	diāofēng
刁风弄月	diāofēngnòngyuè
刁风拐月	diāofēngguǎiyuè
刁骚	diāosāo
刃创	rènchuāng
刃迎缕解	rènyínglǚjiě
分一杯羹	fēnyībēigēng
分三别两	fēnsānbiéliǎng
分与	fēnyǔ
分业	fēnyè
分丝析缕	fēnsīxīlǚ
分两	fēnliǎng
分中	fēnzhōng
分为	fēnwéi
分久必合	fēnjiǔbìhé
分义	fēnyì
分之	fēnzhī
分乖	fēnguāi
分书	fēnshū
分了	fēnle
分争	fēnzhēng
分事	fēnshì
分交	fēnjiāo
分产主义	fēnchǎnzhǔyì
分享	fēnxiǎng
分亲	fēnqīn
分付	fēnfù
分任	fēnrèn
分会	fēnhuì
分会场	fēnhuìchǎng
分传	fēnchuán
分似	fēnsì
分佃	fēndiàn
分位	fēnwèi
分位数	fēnwèishù
分体	fēntǐ
分例	fēnlì
分俵	fēnbiào
分值	fēnzhí
分儿	fēnér
分光	fēnguāng
分光光度法	fēnguāngguāngdùfǎ
分光镜地	fēnguāngjìngde
分克	fēnkè
分公司	fēngōngsī
分关	fēnguān
分兵	fēnbīng
分兵把守	fēnbīngbǎshǒu
分内	fènnèi
分内之事	fènnèizhīshì
分册	fēncè
分决	fēnjué
分减	fēnjiǎn
分分	fēnfēn
分刌	fēncǔn
分划	fēnhuá
分列	fēnliè
分列式	fēnlièshì
分则	fēnzé
分判	fēnpàn
分利	fēnlì
分别	fēnbié
分别部居	fēnbiébùjū
分别门户	fēnbiéménhù
分剂	fēnjì
分削	fēnxuē
分剓	fēnlí
分剖	fēnpōu
分剟	fēnduō
分割	fēngē
分割包围	fēngēbāowéi
分割区	fēngēqū
分力	fēnlì
分功	fēngōng
分务	fēnwù
分劳赴功	fēnláofùgōng
分势	fēnshì
分包	fēnbāo
分化	fēnhuà
分化与整合	fēnhuàyǔzhěnghé
分化瓦解	fēnhuàwǎjiě
分北	fēnběi
分区	fēnqū
分升	fēnshēng
分华丽地	fēnhuálìde
分卡	fēnkǎ
分卫	fēnwèi
分厂	fēnchǎng
分压电阻	fēnyādiànzǔ
分厘	fēnlí
分厘卡	fēnlíkǎ
分厘毫丝	fēnlíháosī
分叉	fēnchà
分发	fēnfā
分取	fēnqǔ
分叙	fēnxù
分口	fēnkǒu
分句	fēnjù
分另	fēnlìng
分号	fēnhào
分司	fēnsī
分合	fēnhé
分吟	fēnyín
分命	fēnmìng
分售	fēnshòu
分器	fēnqì
分国	fēnguó
分土	fēntǔ
分圭	fēnguī
分地	fēndì
分均	fēnjūn
分域	fēnyù
分塞	fēnsāi
分境	fēnjìng
分墬	fēndì
分处	fēnchǔ
分外	fènwài
分外之物	fènwàizhīwù
分外妖娆	fènwàiyāoráo
分外明白	fènwàimíngbai
分外眼明	fènwàiyǎnmíng
分外眼睁	fènwàiyǎnzhēng
分外眼红	fènwàiyǎnhóng
分夜	fēnyè
分夜钟	fēnyèzhōng
分大小	fēndàxiǎo
分头	fēntóu
分头路	fēntóulù
分契	fēnqì
分好	fēnhǎo
分委	fēnwěi
分威	fēnwēi
分娩	fēnmiǎn
分子	fènzǐ
分子力	fēnzǐlì
分子化合物	fēnzǐhuàhéwù
分子医学	fēnzǐyīxué
分子和分母	fēnzǐhéfēnmǔ
分子式	fēnzǐshì
分子料理	fēnzǐliàolǐ
分子晶体	fēnzǐjīngtǐ
分子晶體	fēnzǐjīngtǐ
分子杂交	fēnzǐzájiāo
分子物理学	fēnzǐwùlǐxué
分子生物学	fēnzǐshēngwùxué
分子生物學	fēnzǐshēngwùxué
分子筛	fēnzǐshāi
分子結構	fēnzǐjiégòu
分子结构	fēnzǐjiégòu
分子运动论	fēnzǐyùndònglùn
分子遗传学	fēnzǐyíchuánxué
分子量	fēnzǐliàng
分子钟	fēnzǐzhōng
分宅	fēnzhái
分守	fēnshǒu
分守要津	fēnshǒuyàojīn
分定	fēndìng
分宜	fēnyí
分宜县	fēnyíxiàn
分宥	fēnyòu
分宵	fēnxiāo
分宵达曙	fēnxiāodáshǔ
分家	fēnjiā
分家析产	fēnjiāxīchǎn
分寸	fēncùn
分寸之末	fēncùnzhīmò
分封	fēnfēng
分封制	fēnfēngzhì
分尸	fēnshī
分局	fēnjú
分层	fēncéng
分居	fēnjū
分居异爨	fēnjūyìcuàn
分属	fēnshǔ
分屯	fēntún
分岁	fēnsuì
分岐	fēnqí
分岔	fēnchà
分岭	fēnlǐng
分崩	fēnbēng
分崩离析	fēnbēnglíxī
分巡	fēnxún
分巡兵备道	fēnxúnbīngbèidào
分巡道	fēnxúndào
分工	fēngōng
分工合作	fēngōnghézuò
分布	fēnbù
分布图	fēnbùtú
分布式	fēnbùshì
分布式拒绝服务	fēnbùshìjùjuéfúwù
分布式环境	fēnbùshìhuánjìng
分布式结构	fēnbùshìjiégòu
分布式网络	fēnbùshìwǎngluò
分布控制	fēnbùkòngzhì
分年	fēnnián
分床同梦	fēnchuángtóngmèng
分店	fēndiàn
分度	fēndù
分座	fēnzuò
分庭	fēntíng
分庭伉礼	fēntíngkànglǐ
分庭抗礼	fēntíngkànglǐ
分建	fēnjiàn
分开	fēnkāi
分异	fēnyì
分式	fēnshì
分式方程	fēnshìfāngchéng
分张	fēnzhāng
分弦	fēnxián
分强	fēnqiáng
分当	fèndāng
分录	fēnlù
分形	fēnxíng
分形共气	fēnxínggòngqì
分形几何	fēnxíngjǐhé
分形几何学	fēnxíngjǐhéxué
分形同气	fēnxíngtóngqì
分形连气	fēnxíngliánqì
分役	fēnyì
分彻	fēnchè
分得	fēnde
分心	fēnxīn
分心挂腹	fēnxīnguàfù
分忧	fēnyōu
分总	fēnzǒng
分情	fēnqíng
分情破爱	fēnqíngpòài
分惠	fēnhuì
分意	fēnyì
分愿	fēnyuàn
分成	fēnchéng
分我杯羹	fēnwǒbēigēng
分截	fēnjié
分户	fēnhù
分房	fēnfáng
分房减口	fēnfángjiǎnkǒu
分所	fēnsuǒ
分手	fēnshǒu
分手代理	fēnshǒudàilǐ
分扣	fēnkòu
分扰	fēnrǎo
分批	fēnpī
分批地	fēnpīde
分披	fēnpī
分担	fēndān
分拆	fènchāi
分拣	fēnjiǎn
分拨	fēnbō
分损	fēnsǔn
分掉	fēndiào
分掌	fēnzhǎng
分携	fēnxié
分摊	fēntān
分撇	fēnpiě
分擘	fēnbò
分支	fēnzhī
分支分配器	fēnzhīfēnpèiqì
分支帐	fēnzhīzhàng
分散	fēnsàn
分散主义	fēnsànzhǔyì
分散和弦	fēnsànhéxián
分散地	fēnsǎnde
分散式	fēnsànshì
分散指挥	fēnsǎnzhǐhuī
分散染料	fēnsǎnrǎnliào
分散的策略	fēnsàndecèlüè
分散系	fēnsǎnxì
分数	fēnshù
分数挂帅	fēnshùguàshuài
分数线	fēnshùxiàn
分文	fēnwén
分文不值	fēnwénbùzhí
分文不取	fēnwénbùqǔ
分文不名	fēnwénbùmíng
分文不直	fēnwénbùzhí
分文未取	fēnwénwèiqǔ
分斤拨两	fēnjīnbōliǎng
分斤掰两	fēnjīnbāiliǎng
分断	fēnduàn
分方	fēnfāng
分施	fēnshī
分族	fēnzú
分日	fēnrì
分时	fēnshí
分时多工	fēnshíduōgōng
分时计算机	fēnshíjìsuànjī
分明	fēnmíng
分星	fēnxīng
分星劈两	fēnxīngpīliǎng
分星拨两	fēnxīngbōliǎng
分星掰两	fēnxīngbāiliǎng
分星擘两	fēnxīngbòliǎng
分春	fēnchūn
分晓	fēnxiǎo
分晰	fēnxī
分暌	fēnkuí
分曹	fēncáo
分朋	fēnpéng
分朋引类	fēnpéngyǐnlèi
分服	fēnfú
分朗	fēnlǎng
分朗朗	fēnlǎnglǎng
分望	fēnwàng
分期	fēnqī
分期付款	fēnqīfùkuǎn
分期分批	fēnqīfēnpī
分机	fēnjī
分权	fēnquán
分权制衡	fēnquánzhìhéng
分杈	fēnchā
分条析理	fēntiáoxīlǐ
分杪	fēnmiǎo
分析	fēnxī
分析与综合	fēnxīyǔzōnghé
分析人士	fēnxīrénshì
分析化学	fēnxīhuàxué
分析员	fēnxīyuán
分析器	fēnxīqì
分析处理	fēnxīchǔlǐ
分析天平	fēnxītiānpíng
分析学	fēnxīxué
分析家	fēnxījiā
分析师	fēnxīshī
分析心理学	fēnxīxīnlǐxué
分析法	fēnxīfǎ
分析研究	fēnxīyánjiū
分析语	fēnxīyǔ
分枝	fēnzhī
分校	fēnxiào
分株	fēnzhū
分桃	fēntáo
分档	fēndàng
分次	fēncì
分步骤	fēnbùzhòu
分歧	fēnqí
分歧点	fēnqídiǎn
分死	fēnsǐ
分歼战	fēnjiānzhàn
分殊	fēnshū
分段	fēnduàn
分段身	fēnduànshēn
分母	fēnmǔ
分母有理化	fēnmǔyǒulǐhuà
分毫	fēnháo
分毫不值	fēnháobùzhí
分毫不取	fēnháobùqǔ
分毫不差	fēnháobùchā
分毫不爽	fēnháobùshuǎng
分毫之差	fēnháozhīchā
分毫无爽	fēnháowúshuǎng
分毫析厘	fēnháoxīlí
分民	fēnmín
分气	fēnqì
分水	fēnshuǐ
分水岭	fēnshuǐlǐng
分水线	fēnshuǐxiàn
分水闸	fēnshuǐzhá
分沙	fēnshā
分治	fēnzhì
分泌	fēnmì
分泌物	fēnmìwù
分泌颗粒	fēnmìkēlì
分波多工	fēnbōduōgōng
分泥	fēnní
分洪	fēnhóng
分派	fēnpài
分流	fēnliú
分流电路	fēnliúdiànlù
分流电阻	fēnliúdiànzǔ
分济	fēnjì
分涂	fēntú
分润	fēnrùn
分液漏斗	fēnyèlòudǒu
分清	fēnqīng
分灯	fēndēng
分灶吃饭	fēnzàochīfàn
分点	fēndiǎn
分烟	fēnyān
分烟析产	fēnyānxīchǎn
分烟析生	fēnyānxīshēng
分然	fēnrán
分熟	fēnshú
分燠嘘寒	fēnyùxūhán
分爨	fēncuàn
分爱	fēnài
分片	fēnpiàn
分片包干	fēnpiànbāogān
分物	fēnwù
分献	fēnxiàn
分猷	fēnyóu
分率	fēnlǜ
分珪	fēnguī
分班	fēnbān
分理	fēnlǐ
分理处	fēnlǐchù
分瓦	fēnwǎ
分甘	fēngān
分甘共苦	fēngāngòngkǔ
分甘同苦	fēngāntóngkǔ
分甘绝少	fēngānjuéshǎo
分生组织	fēnshēngzǔzhī
分田	fēntián
分画	fēnhuà
分界	fēnjiè
分界线	fēnjièxiàn
分番	fēnfān
分疆	fēnjiāng
分疎	fēnshū
分疏	fēnshū
分痛	fēntòng
分白	fēnbái
分直	fēnzhí
分相	fēnxiàng
分省	fēnshěng
分破	fēnpò
分碎	fēnsuì
分磔	fēnzhé
分社	fēnshè
分神	fēnshén
分祷	fēndǎo
分福	fēnfú
分离	fēnlí
分离主义	fēnlízhǔyì
分离分子	fēnlífènzǐ
分离器	fēnlíqì
分离地	fēnlíde
分科	fēnkē
分秒	fēnmiǎo
分秒必争	fēnmiǎobìzhēng
分租	fēnzū
分秧	fēnyāng
分移	fēnyí
分税制	fēnshuìzhì
分窜	fēncuàn
分立	fēnlì
分站	fēnzhàn
分章析句	fēnzhāngxījù
分竹	fēnzhú
分符	fēnfú
分管	fēnguǎn
分米	fēnmǐ
分类	fēnlèi
分类学	fēnlèixué
分类帐	fēnlèizhàng
分类理论	fēnlèilǐlùn
分系	fēnxì
分系统	fēnxìtǒng
分素	fēnsù
分索	fēnsuǒ
分红	fēnhóng
分红利	fēnhónglì
分级	fēnjí
分级救治	fēnjíjiùzhì
分纭	fēnyún
分组	fēnzǔ
分组交换	fēnzǔjiāohuàn
分细	fēnxì
分给	fēngěi
分绝	fēnjué
分统	fēntǒng
分缘	fēnyuán
分缝	fēnfèng
分置	fēnzhì
分群	fēnqún
分羹	fēngēng
分而治之	fēnérzhìzhī
分耗	fēnhào
分职	fēnzhí
分肌劈理	fēnjīpīlǐ
分肥	fēnféi
分背	fēnbèi
分胙	fēnzuò
分腥	fēnxīng
分至	fēnzhì
分至点	fēnzhìdiǎn
分色	fēnsè
分色镜头	fēnsèjìngtóu
分节	fēnjié
分节歌	fēnjiégē
分花拂柳	fēnhuāfúliǔ
分花约柳	fēnhuāyuēliǔ
分茅	fēnmáo
分茅列土	fēnmáoliètǔ
分茅岭	fēnmáolǐng
分茅胙土	fēnmáozuòtǔ
分茅裂土	fēnmáoliètǔ
分茅赐土	fēnmáocìtǔ
分茅锡土	fēnmáoxītǔ
分茶	fēnchá
分茶店	fēnchádiàn
分荆	fēnjīng
分藩	fēnfān
分蘖	fēnniè
分虎	fēnhǔ
分虎竹	fēnhǔzhú
分虎节	fēnhǔjié
分虚伪地	fēnxūwěide
分蜜	fēnmì
分行	fēnháng
分行布白	fēnhángbùbái
分表	fēnbiǎo
分衿	fēnjīn
分袂	fēnmèi
分袪	fēnqū
分裂	fēnliè
分裂主义	fēnlièzhǔyì
分裂情感性障碍	fēnlièqínggǎnxìngzhàngài
分裂生殖	fēnlièshēngzhí
分裂组织	fēnlièzǔzhī
分装	fēnzhuāng
分装机	fēnzhuāngjī
分裱	fēnbiǎo
分裾	fēnjū
分襟	fēnjīn
分视	fēnshì
分角器	fēnjiǎoqì
分解	fēnjiě
分解代谢	fēnjiědàixiè
分解作用	fēnjiězuòyòng
分解反应	fēnjiěfǎnyìng
分解者	fēnjiězhě
分让	fēnràng
分议	fēnyì
分许	fēnxǔ
分设	fēnshè
分证	fēnzhèng
分诉	fēnsù
分词	fēncí
分诣	fēnyì
分详	fēnxiáng
分说	fēnshuō
分谤	fēnbàng
分豁	fēnhuō
分贝	fēnbèi
分财	fēncái
分账	fēnzhàng
分贫振穷	fēnpínzhènqióng
分赀	fēnzī
分赃	fēnzāng
分资	fēnzī
分赉	fēnlài
分赢	fēnyíng
分赴	fēnfù
分路	fēnlù
分路扬镳	fēnlùyángbiāo
分身	fēnshēn
分身乏术	fēnshēnfáshù
分身减口	fēnshēnjiǎnkǒu
分身将	fēnshēnjiāng
分身无术	fēnshēnwúshù
分身术	fēnshēnshù
分身法	fēnshēnfǎ
分辙	fēnzhé
分辨	fēnbiàn
分辨率	fēnbiànlǜ
分辩	fēnbiàn
分过	fēnguò
分进	fēnjìn
分进合击	fēnjìnhéjī
分违	fēnwéi
分述	fēnshù
分送	fēnsòng
分途	fēntú
分道	fēndào
分道扬镳	fēndàoyángbiāo
分道线	fēndàoxiàn
分遣	fēnqiǎn
分部	fēnbù
分配	fēnpèi
分配器	fēnpèiqì
分配律	fēnpèilǜ
分释	fēnshì
分重	fēnzhòng
分野	fēnyě
分量	fènliàng
分金	fēnjīn
分金掰两	fēnjīnbāiliǎng
分针	fēnzhēn
分钗	fēnchāi
分钗劈凤	fēnchāipīfèng
分钗断带	fēnchāiduàndài
分钗破镜	fēnchāipòjìng
分钟	fēnzhōng
分钱	fēnqián
分铜	fēntóng
分铢	fēnzhū
分销	fēnxiāo
分销商	fēnxiāoshāng
分销店	fēnxiāodiàn
分销网络	fēnxiāowǎngluò
分锅	fēnguō
分错	fēncuò
分镜	fēnjìng
分镜头	fēnjìngtóu
分镜头剧本	fēnjìngtóujùběn
分镳	fēnbiāo
分门书	fēnménshū
分门别户	fēnménbiéhù
分门别类	fēnménbiélèi
分间	fēnjiān
分阃	fēnkǔn
分队	fēnduì
分阴	fēnyīn
分阶段地	fēnjiēduànde
分际	fènjì
分限	fēnxiàn
分陕	fēnshǎn
分院	fēnyuàn
分隔	fēngé
分隶	fēnlì
分雪	fēnxuě
分非	fēnfēi
分鞋破镜	fēnxiépòjìng
分音	fēnyīn
分音符	fēnyīnfú
分韵	fēnyùn
分页	fēnyè
分页符	fēnyèfú
分项	fēnxiàng
分颁	fēnbān
分领	fēnlǐng
分频	fēnpín
分题	fēntí
分颜	fēnyán
分风	fēnfēng
分风劈流	fēnfēngpǐliú
分飞	fēnfēi
分飡	fēncān
分餐	fēncān
分餐制	fēncānzhì
分馏	fēnliú
分首	fēnshǒu
分香	fēnxiāng
分香卖履	fēnxiāngmàilǚ
分驰	fēnchí
分鸾	fēnluán
分鹿	fēnlù
分鼎	fēndǐng
分齐	fēnqí
分龙	fēnlóng
分龙兵	fēnlóngbīng
分龙日	fēnlóngrì
分龙节	fēnlóngjié
分龙雨	fēnlóngyǔ
切不	qièbù
切中	qièzhòng
切中事理	qièzhòngshìlǐ
切中时弊	qièzhòngshíbì
切中时病	qièzhòngshíbìng
切中要害	qièzhòngyàohài
切事	qiēshì
切云	qièyún
切云冠	qièyúnguān
切人	qiērén
切似	qiēsì
切促	qiēcù
切倚	qiēyǐ
切偲	qiēcāi
切儗	qiēnǐ
切免	qiēmiǎn
切入	qiērù
切刀	qiēdāo
切分	qiēfēn
切分音	qiēfēnyīn
切切	qiēqiē
切切偲偲	qiēqiēsīsī
切切嚓嚓	qiēqiēchāchā
切切在心	qièqièzàixīn
切切实实	qièqièshíshí
切切察察	qiēqiēcháchá
切切此令	qièqiècǐlìng
切切此布	qièqiècǐbù
切切牢记	qièqièláojì
切切私语	qièqièsīyǔ
切切细语	qiēqiēxìyǔ
切切节节	qiēqiējiéjié
切切请求	qièqièqǐngqiú
切刻	qiēkè
切削	qiēxiāo
切剥	qiēbāo
切割	qiēgē
切劘	qiēmó
切力效应	qiēlìxiàoyìng
切务	qiēwù
切励	qiēlì
切勑	qiēlài
切勿	qièwù
切勿倒置	qièwùdàozhì
切勿受潮	qièwùshòucháo
切勿吸烟	qièwùxīyān
切勿靠近	qièwùkàojìn
切勿颠倒	qièwùdiāndǎo
切却	qiēquè
切厉	qiēlì
切变	qiēbiàn
切口	qiēkǒu
切叹	qiētàn
切合	qièhé
切合实际	qièhéshíjì
切向	qiēxiàng
切向力	qiēxiànglì
切向速度	qiēxiàngsùdù
切向量	qiēxiàngliàng
切命	qiēmìng
切响	qièxiǎng
切嘱	qièzhǔ
切块	qiēkuài
切字	qiēzì
切实	qièshí
切实可行	qièshíkěxíng
切实地	qièshíde
切害	qiēhài
切对	qiēduì
切寻	qiēxún
切尔西	qièěrxī
切尔诺贝利	qiēěrnuòbèilì
切尼	qiēní
切屑	qiēxiè
切峻	qiējùn
切己	qièjǐ
切平面	qiēpíngmiàn
切当	qièdàng
切循	qiēxún
切心	qiēxīn
切忌	qièjì
切忧	qiēyōu
切念	qiēniàn
切怛	qiēdá
切急	qiējí
切悫	qiēquè
切情	qiēqíng
切惟	qiēwéi
切愕	qiēè
切成	qiēchéng
切成丝	qiēchéngsī
切成块	qiēchéngkuài
切戒	qiējiè
切手	qiēshǒu
切挚	qiēzhì
切换	qiēhuàn
切接	qiējiē
切摩	qiēmó
切政	qiēzhèng
切敕	qiēchì
切断	qiēduàn
切望	qièwàng
切末	qièmò
切杆	qiēgān
切树倒根	qiēshùdǎogēn
切根虫	qiēgēnchóng
切格瓦拉	qiègéwǎlā
切正	qiēzhèng
切激	qièjī
切点	qiēdiǎn
切照	qiēzhào
切片	qiēpiàn
切片机	qiēpiànjī
切片检查	qiēpiànjiǎnchá
切牙	qiēyá
切特豪斯学校	qiētèháosīxuéxiào
切状	qiēzhuàng
切玉	qiēyù
切玉刀	qiēyùdāo
切理会心	qiēlǐhuìxīn
切理厌心	qiēlǐyànxīn
切理餍心	qiēlǐyànxīn
切瑳	qiēcuō
切瑳琢磨	qiēcuōzhuómó
切用	qiēyòng
切病	qiēbìng
切痛	qiētòng
切直	qiēzhí
切盼	qièpàn
切碎	qiēsuì
切磋	qiēcuō
切磋琢磨	qiēcuōzhuómó
切磨	qiēmó
切礉	qiēhé
切祝	qiēzhù
切究	qiējiū
切空间	qiēkōngjiān
切类	qiēlèi
切糕	qiēgāo
切紧	qiējǐn
切线	qiēxiàn
切结	qiējié
切结书	qièjiéshū
切给	qiēgěi
切肉刀	qiēròudāo
切肤	qièfū
切肤之痛	qièfūzhītòng
切肺	qiēfèi
切脉	qièmài
切脚	qiējiǎo
切腹	qiēfù
切至	qiēzhì
切花	qiēhuā
切莫	qièmò
切蚂	qiēmǎ
切衇	qiēmài
切要	qièyào
切触	qièchù
切言	qiēyán
切譬	qiēpì
切让	qiēràng
切议	qiēyì
切记	qièjì
切论	qiēlùn
切诊	qièzhěn
切诋	qiēdǐ
切诣	qiēyì
切谏	qièjiàn
切谢	qiēxiè
切象	qiēxiàng
切责	qièzé
切贴	qiètiē
切踦	qiējī
切身	qièshēn
切身体会	qièshēntǐhuì
切身体验	qièshēntǐyàn
切身利害	qièshēnlìhài
切身大事	qièshēndàshì
切辞	qiēcí
切达	qièdá
切近	qièjìn
切近的当	qiējìndedāng
切迫	qièpò
切适	qiēshì
切邻	qiēlín
切错	qiēcuò
切镂	qiēlòu
切问	qiēwèn
切除	qiēchú
切面	qiēmiàn
切音	qièyīn
切韵	qièyùn
切须	qiēxū
切题	qiètí
切骨	qiègǔ
切骨之仇	qiègǔzhīchóu
切骨之寒	qiègǔzhīhán
切骨之恨	qiègǔzhīhèn
切齿	qièchǐ
切齿人	qièchǐrén
切齿咒骂	qièchǐzhòumà
切齿拊心	qièchǐfǔxīn
切齿痛心	qièchǐtòngxīn
切齿痛恨	qièchǐtònghèn
切齿腐心	qièchǐfǔxīn
刈亡	yìwáng
刈熟	yìshú
刊刷	kānshuā
刊削	kānxuē
刊剥	kānbāo
刊勒	kānlè
刊发	kānfā
刊号	kānhào
刊大	kāndà
刊头	kāntóu
刊心刻骨	kānxīnkègǔ
刊授大学	kānshòudàxué
刊授教育	kānshòujiàoyù
刊期	kānqī
刊校	kānxiào
刊正	kānzhèng
刊琢	kānzhuó
刊石	kānshí
刊约	kānyuē
刊缉	kānjī
刊落	kānluò
刊行	kānxíng
刊载	kānzǎi
刊革	kāngé
刊首语	kānshǒuyǔ
刌度	cǔndù
刍摩	chúmó
刍泥	chúní
刍荛之见	chúráozhījiàn
刍论	chúlùn
刍说	chúshuō
刍食	chúshí
刎颈	wěnjǐng
刎颈之交	wěnjǐngzhījiāo
刎颈交	wěnjǐngjiāo
刑不上大夫	xíngbùshàngdàifū
刑事拘留	xíngshìjūliú
刑事责任	xíngshìzérèn
刑于之化	xíngyúzhīhuà
刑冲	xíngchōng
刑场	xíngchǎng
刑奄	xíngyǎn
刑家	xíngjiā
刑房	xíngfáng
刑拘	xíngjū
刑措不用	xíngcuòbùyòng
刑教	xíngjiào
刑期	xíngqī
刑期无刑	xíngqīwúxíng
刑礼房	xínglǐfáng
刑禁	xíngjìn
刑种	xíngzhǒng
刑论	xínglùn
刑责	xíngzé
刑车	xíngchē
刑辟	xíngpì
划一	huàyī
划一不二	huàyībùèr
划下	huàxià
划不来	huábùlái
划价	huàjià
划伤	huáshāng
划位	huàwèi
划分	huàfēn
划切	huáqiè
划划	huáhuá
划劙	huálí
划十字	huàshízì
划圆防守	huàyuánfángshǒu
划圈	huáquān
划地为牢	huádìwéiláo
划子	huázi
划定	huàdìng
划归	huàguī
划得来	huádelái
划拉	huálā
划拨	huàbō
划拨清算	huàbōqīngsuàn
划拳	huáquán
划指	huázhǐ
划掉	huàdiào
划时代	huàshídài
划木	huámù
划条	huátiáo
划样	huàyàng
划桨	huájiǎng
划水	huàshuǐ
划清	huàqīng
划然	huárán
划界	huàjiè
划痕	huáhén
划破	huápò
划算	huásuàn
划粥割齑	huàzhōugējī
划线	huàxiàn
划线板	huàxiànbǎn
划船	huáchuán
划船运动	huáchuányùndòng
划艇	huátǐng
划花	huàhuā
划行	huáxíng
划过	huáguò
划重点	huàzhòngdiǎn
刓方为圆	wánfāngwéiyuán
刓渎	wándú
刓琢	wánzhuó
刓碣	wánjié
刓缪	wánmiù
刓阙	wánquē
刓隐	wányǐn
刔发	juéfā
列为	lièwéi
列从	liècóng
列传	lièzhuàn
列侯	lièhóu
列克星顿	lièkèxīngdùn
列别杰夫	lièbièjiéfū
列刹	lièshā
列功覆过	liègōngfùguò
列卒	lièzú
列县	lièxiàn
列土分茅	liètǔfēnmáo
列土封疆	liètǔfēngjiāng
列地	lièdì
列大夫	lièdàifū
列女	liènǚ
列女传	liènǚzhuàn
列姑射	liègūshè
列宁	lièníng
列宁主义	lièníngzhǔyì
列宁室	lièníngshì
列宁服	lièníngfú
列宁格勒	liènínggélè
列宁装	lièníngzhuāng
列宿	lièsù
列山氏	lièshānshì
列峙	lièzhì
列巴圈	lièbāquān
列强	lièqiáng
列房栊户	lièfánglónghù
列排	lièpái
列支敦士登	lièzhīdūnshìdēng
列支敦斯登	lièzhīdūnsīdēng
列柏	lièbǎi
列校	lièxiào
列氏温标	lièshìwēnbiāo
列王纪上	lièwángjìshàng
列王纪下	lièwángjìxià
列王记上	lièwángjìshàng
列王记下	lièwángjìxià
列石	lièshí
列称	lièchēng
列舍	lièshè
列蛸	lièshāo
列趄	lièqie
列车	lièchē
列车员	lièchēyuán
列车长	lièchēzhǎng
列辟	lièpì
列都	lièdōu
列采	liècǎi
列风	lièfēng
列风淫雨	lièfēngyínyǔ
列食	lièshí
列鼎而食	lièdǐngérshí
刘伯温	liúbówēn
刘参军	liúcānjūn
刘天华	liútiānhuá
刘姥姥进大观园	liúlǎolaojìndàguānyuán
刘家夼	liújiākuǎng
刘家夼镇	liújiākuǎngzhèn
刘家村	liújiācūn
刘家辉	liújiāhuī
刘少奇	liúshàoqí
刘德华	liúdéhuá
刘毅答诏	liúyìdázhào
刘氏冠	liúshìguān
刘涓子鬼遗方	liújuānzǐguǐyífāng
刘猛将军	liúměngjiàngjūn
刘白堕	liúbáiduò
刘石经	liúshíjīng
刘禅	liúshàn
刘窟头	liúkūtóu
刘累	liúlèi
刘贾	liújiǎ
刘郎	liúláng
刘郎前度	liúlángqiándù
刘阿斗	liúādǒu
刘陆	liúlù
则不	zébù
则个	zégè
则么	zémǒ
则度	zédù
则是不断地	zéshìbùduànde
则深刻地	zéshēnkède
则甚	zéshèn
刚中柔外	gāngzhōngróuwài
刚体	gāngtǐ
刚体转动	gāngtǐzhuǎndòng
刚克消亡	gangkexiaowang
刚切	gāngqiē
刚劲	gāngjìng
刚勇地	gāngyǒngde
刚叉	gāngchā
刚只	gāngzhī
刚吐	gāngtǔ
刚地	gāngdì
刚塞	gāngsāi
刚大	gāngdà
刚好	gānghǎo
刚察县	gāngcháxiàn
刚度	gāngdù
刚强	gāngqiáng
刚强地	gāngqiángde
刚愎地	gāngbìde
刚慠	gāngào
刚折	gāngshé
刚暴	gāngbào
刚朴	gāngpiáo
刚朵拉	gāngduǒlā
刚条	gāngtiáo
刚果共和国	gāngguǒgònghéguó
刚果民主共和国	gāngguǒmínzhǔgònghéguó
刚柔并济	gāngróubìngjì
刚柔相济	gāngróuxiāngjì
刚棱	gāngléng
刚正	gāngzhèng
刚正不阿	gāngzhèngbùē
刚瘅	gāngdān
刚直不阿	gāngzhíbùē
刚着地	gāngzhede
刚石	gāngshí
刚絜	gāngjié
刚罫	gāngguà
刚肠嫉恶	gāngchángjíè
刚风	gāngfēng
刚齐	gāngqí
创下	chuàngxià
